#  Time      R1      e_R1      R2      e_R2       R3     e_R3      R4       e_R4
   0.000  1418.00    37.66   363.00    19.05   119.00    10.91    50.00     7.07
   1.193  1348.00    36.72   327.00    18.08   110.00    10.49    35.00     5.92
   2.387  1306.00    36.14   357.00    18.89   118.00    10.86    38.00     6.16
   3.580  1274.00    35.69   343.00    18.52   107.00    10.34    33.00     5.74
   4.773  1198.00    34.61   306.00    17.49   109.00    10.44    34.00     5.83
   5.967  1136.00    33.70   290.00    17.03   110.00    10.49    29.00     5.39
   7.160  1106.00    33.26   261.00    16.16    87.00     9.33    19.00     4.36
   8.353  1050.00    32.40   246.00    15.68    78.00     8.83    35.00     5.92
   9.547  1041.00    32.26   261.00    16.16    84.00     9.17    36.00     6.00
  10.740   953.00    30.87   245.00    15.65    75.00     8.66    33.00     5.74
  11.933   916.00    30.27   233.00    15.26    72.00     8.49    30.00     5.48
  13.127   846.00    29.09   200.00    14.14    70.00     8.37    29.00     5.39
  14.320   832.00    28.84   179.00    13.38    61.00     7.81    33.00     5.74
  15.513   758.00    27.53   180.00    13.42    65.00     8.06    21.00     4.58
  16.707   767.00    27.69   168.00    12.96    69.00     8.31    19.00     4.36
  17.900   740.00    27.20   165.00    12.85    65.00     8.06    15.00     3.87
  19.093   716.00    26.76   172.00    13.11    60.00     7.75    25.00     5.00
  20.287   640.00    25.30   151.00    12.29    53.00     7.28    19.00     4.36
  21.480   613.00    24.76   153.00    12.37    43.00     6.56    20.00     4.47
  22.673   595.00    24.39   149.00    12.21    44.00     6.63    16.00     4.00
  23.867   562.00    23.71   120.00    10.95    44.00     6.63    18.00     4.24
  25.060   554.00    23.54   140.00    11.83    39.00     6.24    20.00     4.47
  26.253   535.00    23.13   135.00    11.62    40.00     6.32    16.00     4.00
  27.447   502.00    22.41   119.00    10.91    35.00     5.92    14.00     3.74
  28.640   447.00    21.14   133.00    11.53    38.00     6.16    10.00     3.16
  29.833   470.00    21.68   109.00    10.44    37.00     6.08    16.00     4.00
  31.027   410.00    20.25   128.00    11.31    30.00     5.48    18.00     4.24
  32.220   404.00    20.10    97.00     9.85    21.00     4.58    11.00     3.32
  33.413   414.00    20.35   100.00    10.00    37.00     6.08    12.00     3.46
  34.607   390.00    19.75   100.00    10.00    37.00     6.08     6.00     2.45
  35.800   340.00    18.44    82.00     9.06    29.00     5.39     7.00     2.65
  36.993   394.00    19.85    88.00     9.38    24.00     4.90    13.00     3.61
