#Time      R1        e_R1    R2        e_R2     R3       e_R3      R4     e_R4
   0.000  3830.00    61.89   965.00    31.06   329.00    18.14   120.00    10.95
   1.193  3743.00    61.18   946.00    30.76   312.00    17.66   113.00    10.63
   2.387  3632.00    60.27   896.00    29.93   291.00    17.06    97.00     9.85
   3.580  3652.00    60.43   913.00    30.22   287.00    16.94   114.00    10.68
   4.773  3504.00    59.19   874.00    29.56   286.00    16.91    90.00     9.49
   5.967  3316.00    57.58   862.00    29.36   235.00    15.33   107.00    10.34
   7.160  3320.00    57.62   811.00    28.48   261.00    16.16    83.00     9.11
   8.353  3269.00    57.18   816.00    28.57   261.00    16.16   103.00    10.15
   9.547  3208.00    56.64   762.00    27.60   244.00    15.62    59.00     7.68
  10.740  3054.00    55.26   745.00    27.29   224.00    14.97    86.00     9.27
  11.933  2905.00    53.90   725.00    26.93   242.00    15.56    81.00     9.00
  13.127  2940.00    54.22   749.00    27.37   239.00    15.46    95.00     9.75
  14.320  2859.00    53.47   702.00    26.50   221.00    14.87    88.00     9.38
  15.513  2783.00    52.75   655.00    25.59   196.00    14.00    69.00     8.31
  16.707  2744.00    52.38   655.00    25.59   205.00    14.32    76.00     8.72
  17.900  2615.00    51.14   676.00    26.00   219.00    14.80    76.00     8.72
  19.093  2619.00    51.18   673.00    25.94   212.00    14.56    73.00     8.54
  20.287  2575.00    50.74   629.00    25.08   191.00    13.82    65.00     8.06
  21.480  2559.00    50.59   648.00    25.46   196.00    14.00    58.00     7.62
  22.673  2432.00    49.32   598.00    24.45   182.00    13.49    85.00     9.22
  23.867  2314.00    48.10   545.00    23.35   176.00    13.27    57.00     7.55
  25.060  2155.00    46.42   528.00    22.98   153.00    12.37    64.00     8.00
  26.253  2282.00    47.77   558.00    23.62   178.00    13.34    55.00     7.42
  27.447  2172.00    46.60   581.00    24.10   165.00    12.85    65.00     8.06
  28.640  2143.00    46.29   533.00    23.09   178.00    13.34    61.00     7.81
  29.833  2096.00    45.78   535.00    23.13   190.00    13.78    68.00     8.25
  31.027  2048.00    45.25   497.00    22.29   156.00    12.49    56.00     7.48
  32.220  2021.00    44.96   512.00    22.63   154.00    12.41    41.00     6.40
  33.413  1963.00    44.31   468.00    21.63   156.00    12.49    65.00     8.06
  34.607  1876.00    43.31   509.00    22.56   124.00    11.14    55.00     7.42
  35.800  1829.00    42.77   501.00    22.38   146.00    12.08    41.00     6.40
  36.993  1892.00    43.50   453.00    21.28   143.00    11.96    48.00     6.93
  38.187  1839.00    42.88   457.00    21.38   140.00    11.83    45.00     6.71
  39.380  1874.00    43.29   477.00    21.84   139.00    11.79    54.00     7.35
  40.573  1696.00    41.18   437.00    20.90   141.00    11.87    46.00     6.78
  41.767  1663.00    40.78   453.00    21.28   142.00    11.92    47.00     6.86
  42.960  1632.00    40.40   444.00    21.07   134.00    11.58    42.00     6.48
  44.153  1631.00    40.39   400.00    20.00   121.00    11.00    44.00     6.63
  45.347  1610.00    40.12   394.00    19.85   112.00    10.58    44.00     6.63
  46.540  1630.00    40.37   376.00    19.39   123.00    11.09    45.00     6.71
  47.733  1495.00    38.67   379.00    19.47   133.00    11.53    39.00     6.24
  48.927  1516.00    38.94   381.00    19.52   114.00    10.68    38.00     6.16
  50.120  1469.00    38.33   347.00    18.63   119.00    10.91    39.00     6.24
  51.313  1489.00    38.59   362.00    19.03   104.00    10.20    36.00     6.00
  52.507  1432.00    37.84   336.00    18.33   124.00    11.14    43.00     6.56
  53.700  1438.00    37.92   358.00    18.92    83.00     9.11    56.00     7.48
  54.893  1380.00    37.15   345.00    18.57   111.00    10.54    27.00     5.20
  56.087  1321.00    36.35   334.00    18.28   112.00    10.58    42.00     6.48
  57.280  1287.00    35.87   330.00    18.17   110.00    10.49    31.00     5.57
  58.473  1253.00    35.40   310.00    17.61   100.00    10.00    35.00     5.92
  59.667  1206.00    34.73   290.00    17.03   101.00    10.05    43.00     6.56
